idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
immo-facile-49114564;pr;m;v;0;61;250.0;3;102600;;;0;0;0;1;E;327;47.80703;7.10718;Oui;1.0;;;False;0;B;1948.0;1.0;;;;;;;;Électrique;;Individuel;a;n;68.0;m;2022-04;68334;0103;683340103;H;H;6833401;68402;44;68;8.1;2.0;0.058;7.73;3.0;0.055;1681.97
ag670426-338504727;pr;a;v;0;70;;3;275700;;;0;0;1;0;B;51;47.65661;7.27093;Non;;;1.0;;0;B;;1.0;;;False;;False;;;;;;a;n;15.0;a;2022-04;68332;0000;683320000;Z;Z;6833200;68117;44;68;;;;;;;3938.57
gedeon-24495795;pr;m;v;0;110;;6;322500;;;0;0;0;0;0;;47.96684;7.39393;0;;;;;0;;;;;;;;;;;;;;cm;n;92.0;m;2022-04;68242;0000;682420000;Z;Z;6824200;68000;44;68;;;;;;;2931.82
ag681106-339422397;pr;a;v;2;120;;4;250000;;;0;0;0;1;NS;;47.96407;7.39445;Oui;2.0;;2.0;False;Sud;;;1.0;;;;;False;;;;;;a;n;29.0;a;2022-04;68242;0000;682420000;Z;Z;6824200;68000;44;68;;;;;;;2083.33
immo-facile-49309679;pr;m;v;0;200;871.0;8;449900;;;0;0;0;3;D;186;47.9715;7.39731;Oui;;;;;0;C;1970.0;2.0;;;;;;;;Gaz;Radiateur;Individuel;a;n;43.0;m;2022-04;68242;0000;682420000;Z;Z;6824200;68000;44;68;;;;;;;2249.5
ag681124-339690150;pr;m;v;0;340;956.0;13;632000;;;0;0;1;2;C;153;47.92779;7.54045;Non;1.0;;2.0;;Est;C;;3.0;;;;;;;;Gaz;;;a;n;8.0;m;2022-04;68016;0000;680160000;Z;Z;6801600;68109;44;68;;;;;;;1858.82
ag681124-339690123;pr;m;v;0;180;568.0;7;285000;;;0;0;1;1;C;122;47.931;7.52376;Non;1.0;;;True;Est;C;;2.0;;;;;;;;Gaz;;;a;n;8.0;m;2022-04;68016;0000;680160000;Z;Z;6801600;68109;44;68;;;;;;;1583.33
ag681124-339690138;pr;m;v;0;160;388.0;6;349000;;;0;0;1;0;C;153;47.9287;7.52648;Oui;1.0;;2.0;True;Est;A;;2.0;;;;;;;;Gaz;;Individuel;a;n;148.0;m;2022-04;68016;0000;680160000;Z;Z;6801600;68109;44;68;;;;;;;2181.25
immo-facile-49523929;pr;a;v;0;80;;4;162000;;;0;0;0;0;E;269;47.80255;7.24201;Oui;;;;;0;E;;;;;;;;;;;;;a;n;92.0;a;2022-04;68375;0102;683750102;H;H;6837501;68701;44;68;9.47;4.0;0.056;8.99;7.0;0.053;2025.0
mgc-340840893;pr;an;v;0;45;;2;131500;;;0;0;0;0;0;;47.80217;7.24718;0;;;;;0;;;;;;;;;8.0;;;;;ca;o;370.0;a;2022-04;68375;0102;683750102;H;H;6837501;68701;44;68;12.76;2.0;0.052;12.04;9.0;0.049;2922.22
immo-facile-49488626;pr;a;v;1;100;500.0;5;209000;;;0;0;0;1;D;162;47.8096;7.24035;Oui;1.0;;;;0;E;;1.0;;;;;False;2.0;;;;;a;n;8.0;a;2022-04;68375;0102;683750102;H;H;6837501;68701;44;68;;;;;;;2090.0
immo-facile-49450241;pr;a;v;0;78;;3;208000;;;0;0;0;1;C;143;47.80374;7.24378;Non;2.0;;1.0;True;0;C;2011.0;1.0;1.0;;;;False;99.0;1200.0;Gaz;Radiateur;Individuel;a;n;15.0;a;2022-04;68375;0102;683750102;H;H;6837501;68701;44;68;10.95;5.0;0.049;10.89;16.0;0.049;2666.67
immo-facile-49440860;pr;m;v;0;160;250.0;8;209000;;;0;0;0;2;G;562;47.80073;7.24492;Non;1.0;;;True;Est-Ouest;E;1950.0;2.0;;;False;;;;;;;Individuel;a;n;8.0;m;2022-04;68375;0102;683750102;H;H;6837501;68701;44;68;;;;;;;1306.25
mgc-339245238;pr;an;v;0;45;;2;131500;;;0;0;0;0;0;;47.81109;7.24173;0;;;;;0;;;;;;;;;8.0;;;;;ca;o;8.0;a;2022-04;68375;0102;683750102;H;H;6837501;68701;44;68;12.76;2.0;0.052;12.04;9.0;0.049;2922.22
ag681158-338317038;pr;m;v;0;120;391.0;5;289000;;;0;0;0;1;E;269;47.80657;7.24494;Non;;;1.0;;0;E;;2.0;;;;;;;;;;;a;n;29.0;m;2022-04;68375;0102;683750102;H;H;6837501;68701;44;68;11.4;1.0;0.057;11.4;1.0;0.057;2408.33
ag681404-338183349;pr;m;v;0;210;5000.0;6;1582500;;;0;0;0;1;C;125;47.60773;7.22285;Non;;;3.0;;0;A;;2.0;;;;;;;;;;;a;n;92.0;m;2022-04;68139;0000;681390000;Z;Z;6813900;68000;44;68;7.25;1.0;0.012;7.25;1.0;0.012;7535.71
hektor-MAYAIMMO2020-2236;pr;m;v;0;194;;8;525000;;;0;0;1;1;A;43;47.64971;7.26942;Non;2.0;;;;0;A;2018.0;2.0;;;;;;;;;Sol;;a;n;55.0;m;2022-04;68356;0000;683560000;Z;Z;6835600;68000;44;68;;;;;;;2706.19
ag333464-338940489;pr;m;v;0;134;2153.0;6;400000;;;0;0;1;1;D;152;47.63315;7.27057;Non;2.0;;;True;Est;D;;2.0;;;;;;;;;;Individuel;a;n;36.0;m;2022-04;68356;0000;683560000;Z;Z;6835600;68000;44;68;;;;;;;2985.07
iad-france-1127233;pr;m;v;0;103;1160.0;5;230000;;;0;0;0;0;F;338;47.78784;7.24413;Oui;1.0;;;False;0;F;;;;;False;;;;;Gaz;Radiateur;;m;n;26.0;m;2022-04;68375;0101;683750101;H;H;6837501;68701;44;68;;;;11.4;1.0;0.061;2233.01
mgc-341355787-MS-220426-150449;pr;m;v;0;110;;4;304000;;;0;0;0;0;0;;48.09328;7.55643;0;;;;;0;;;;;;;;;;;;;;cm;o;64.0;m;2022-04;68019;0000;680190000;Z;Z;6801900;68000;44;68;;;;;;;2763.64
orpi-1-054039E28ROI;pr;m;v;0;125;504.0;6;372000;;;0;0;0;2;B;82;48.09054;7.55612;Oui;;;2.0;;0;A;;;0.0;;;;;;;;;Individuel;a;n;55.0;m;2022-04;68019;0000;680190000;Z;Z;6801900;68000;44;68;;;;;;;2976.0
mgc-340551607-CWE-220419-173535;pr;m;v;0;115;;4;309000;;;0;0;0;0;A;;48.09328;7.55643;0;;;;;0;A;;;;;;;;;;;;;cm;o;78.0;m;2022-04;68019;0000;680190000;Z;Z;6801900;68000;44;68;;;;;;;2686.96
ag680010-339281184;pr;a;v;2;78;;3;199500;;;0;0;0;1;C;97;47.61728;7.20819;Oui;2.0;;2.0;False;Nord-Ouest;D;;1.0;;;;;;;564.0;;;;a;n;59.0;a;2022-04;68062;0000;680620000;Z;Z;6806200;68206;44;68;9.32;5.0;0.044;9.32;5.0;0.044;2557.69
hektor-MAYAIMMO2020-2264;pr;m;v;0;120;800.0;5;162000;;;0;0;0;0;E;211;47.62245;7.21748;Non;3.0;;;;0;E;1900.0;;;;;;;;;Fioul;;;a;n;15.0;m;2022-04;68062;0000;680620000;Z;Z;6806200;68206;44;68;9.09;2.0;0.081;9.09;2.0;0.081;1350.0
ag681360-341216160;pr;a;v;0;108;;4;246750;;;0;0;0;1;C;131;47.61571;7.20952;Non;1.0;;2.0;;0;D;;1.0;;;;;;13.0;220.0;Gaz;;Individuel;a;n;15.0;a;2022-04;68062;0000;680620000;Z;Z;6806200;68206;44;68;9.43;3.0;0.05;9.43;3.0;0.05;2284.72
hektor-girardi-pfastatt-3031;pr;m;v;0;120;820.0;4;297000;;;0;0;0;1;D;215;47.83025;7.24813;Oui;2.0;;1.0;;0;E;;2.0;2.0;;;;;;;;;;a;n;162.0;m;2022-04;68321;0000;683210000;Z;Z;6832100;68701;44;68;11.75;1.0;0.057;11.75;1.0;0.057;2475.0
mgc-338491570-CWE-220401-114113;pr;m;v;0;87;;5;267000;;;0;0;0;0;A;;47.82621;7.25934;0;;;;;0;A;;;;;;;;;;;;;cm;o;59.0;m;2022-04;68321;0000;683210000;Z;Z;6832100;68701;44;68;9.56;1.0;0.037;9.56;1.0;0.037;3068.97
orpi-1-054048E24Q1O;pr;m;v;0;93;521.0;5;299000;;;0;0;0;2;E;258;48.06045;7.47827;Oui;;;6.0;;0;B;;;1.0;;;;;;;;;;a;n;45.0;m;2022-04;68367;0000;683670000;Z;Z;6836700;68000;44;68;;;;;;;3215.05
gedeon-24474824;pr;a;v;0;125;;4;442000;;;0;1;0;1;VI;;47.56247;7.52617;0;;;;;0;VI;;1.0;;;;;;;;Gaz;;Individuel;a;n;43.0;a;2022-04;68126;0000;681260000;Z;Z;6812600;68403;44;68;12.41;21.0;0.042;12.41;21.0;0.042;3536.0
hektor-moebel-immo-172;pr;m;v;0;100;570.0;5;234000;;;0;0;1;0;0;;47.55976;7.51961;Oui;1.0;;;True;0;;1927.0;1.0;;;;;;;;Fioul;Radiateur;Individuel;a;n;73.0;m;2022-04;68126;0000;681260000;Z;Z;6812600;68403;44;68;14.24;14.0;0.073;14.24;14.0;0.073;2340.0
ag681332-338229951;pr;m;v;0;195;967.0;7;980000;;;0;0;2;1;C;138;47.56247;7.52617;Oui;;;3.0;True;0;D;;4.0;;;;;;;;Gaz;;Individuel;a;n;66.0;m;2022-04;68126;0000;681260000;Z;Z;6812600;68403;44;68;12.44;3.0;0.03;12.44;3.0;0.03;5025.64
mgc-341621992-MS-220428-143552;pr;m;v;0;118;;5;385000;;;0;0;0;0;0;;47.98428;7.28633;0;;;;;0;;;;;;;;;;;;;;cm;o;71.0;m;2022-04;68255;0000;682550000;Z;Z;6825500;68000;44;68;;;;;;;3262.71
ag681104-338073933;pr;a;v;0;87;;3;259900;;;0;0;1;0;D;161;47.54405;7.40363;Oui;;;1.0;True;Sud;E;;1.0;;;;;;27.0;;;;;a;n;113.0;a;2022-04;68222;0000;682220000;Z;Z;6822200;68000;44;68;9.03;2.0;0.036;9.03;2.0;0.036;2987.36
hektor-MAYAIMMO2020-2238;pr;a;v;0;43;;2;144000;;;0;0;0;1;D;180;47.56323;7.53107;Oui;4.0;;;False;Sud-Ouest;C;2012.0;1.0;1.0;;;;True;;1448.0;Gaz;Radiateur;Collectif;a;n;140.0;a;2022-04;68126;0000;681260000;Z;Z;6812600;68403;44;68;13.78;32.0;0.049;13.78;32.0;0.049;3348.84
ag681109-339229371;pr;a;v;0;68;;3;301000;;;0;0;1;0;B;54.26;47.56247;7.52617;Non;;;;;0;C;;;;;;;;;;;;;a;n;36.0;a;2022-04;68126;0000;681260000;Z;Z;6812600;68403;44;68;13.32;52.0;0.036;13.32;52.0;0.036;4426.47
apimo-6849458;pr;a;v;0;120;1500.0;6;160000;;;0;0;0;0;E;244;47.93289;6.9654;Oui;;;;;0;E;;;;;;;;;;Gaz;Radiateur;Individuel;a;n;15.0;a;2022-04;68171;0000;681710000;Z;Z;6817100;68000;44;68;;;;;;;1333.33
hektor-immolandismunst-1124;pr;a;v;0;101;;5;172000;;;0;0;0;1;E;281;48.05203;7.1108;Non;2.0;;2.0;True;0;E;1930.0;1.0;;;;;;12.0;416.0;Gaz;Radiateur;Individuel;a;n;134.0;a;2022-04;68329;0000;683290000;Z;Z;6832900;68302;44;68;;;;;;;1702.97
ag681391-339690339;pr;m;v;0;130;440.0;6;272000;;;0;1;0;1;E;249;47.4563;7.41363;Non;1.0;;4.0;;Sud;E;;2.0;;;;;;;;;;;a;n;99.0;m;2022-04;68380;0000;683800000;Z;Z;6838000;68000;44;68;;;;;;;2092.31
ag060811-340685076;pr;m;v;0;155;760.0;4;138000;;;0;0;1;0;G;729;47.46242;7.40932;Oui;;;0.0;;0;C;;;;;;;;;;;;;m;n;92.0;m;2022-04;68380;0000;683800000;Z;Z;6838000;68000;44;68;;;;;;;890.32
ag681237-339409053;pr;m;v;0;191;900.0;6;785000;;;0;0;0;2;C;;47.98557;7.28784;Non;;;2.0;;0;A;;2.0;;;;;;;;;;;a;n;246.0;m;2022-04;68255;0000;682550000;Z;Z;6825500;68000;44;68;;;;;;;4109.95
hektor-BESANCON-23471;pr;m;v;0;108;1429.0;5;145800;;;0;0;0;0;G;579;47.57738;7.1424;Non;2.0;;;True;0;;1700.0;;;;;;;;;;;;a;n;64.0;m;2022-04;68137;0000;681370000;Z;Z;6813700;68000;44;68;;;;;;;1350.0
immo-facile-47966070;pr;m;v;0;215;3023.0;6;397000;;;0;0;0;0;D;155;47.56769;7.14031;Oui;;;;;0;D;;;;;;;;;;;;;a;n;106.0;m;2022-04;68137;0000;681370000;Z;Z;6813700;68000;44;68;;;;;;;1846.51
gedeon-24643525;pr;an;v;0;71;;3;292350;;;0;0;0;0;0;;47.60524;7.50033;0;;;;;0;;;;;;;;;;;;;;cm;o;38.0;a;2022-04;68042;0000;680420000;Z;Z;6804200;68118;44;68;12.32;52.0;0.036;12.32;52.0;0.036;4117.61
adapt-immo-680091618;pr;a;v;2;83;;4;228500;;;0;1;0;1;D;209;47.60842;7.49415;Non;2.0;;;True;0;B;1980.0;2.0;;;;;False;;;Électrique;;;a;n;52.0;a;2022-04;68042;0000;680420000;Z;Z;6804200;68118;44;68;10.84;8.0;0.047;10.84;8.0;0.047;2753.01
hektor-LECEDREIMMO-161;pr;m;v;0;156;960.0;6;629000;;;0;0;1;0;0;;47.60262;7.48488;Non;1.0;;;;0;;1980.0;2.0;2.0;;;;;;;;;Individuel;a;n;323.0;m;2022-04;68042;0000;680420000;Z;Z;6804200;68118;44;68;13.18;3.0;0.039;13.18;3.0;0.039;4032.05
apimo-6889919;pr;a;v;3;61;;3;182000;;;0;0;0;0;E;227;47.60288;7.49758;0;;;;;0;E;;;;;;;True;;1320.0;Gaz;Radiateur;Individuel;a;n;183.0;a;2022-04;68042;0000;680420000;Z;Z;6804200;68118;44;68;12.32;52.0;0.05;12.32;52.0;0.05;2983.61
ag681391-339546942;pr;m;v;0;110;600.0;6;437000;;;0;0;0;1;D;223;47.59862;7.50108;Non;;;4.0;True;Sud;D;;1.0;;;;;;;;;;;a;n;78.0;m;2022-04;68042;0000;680420000;Z;Z;6804200;68118;44;68;13.18;3.0;0.04;13.18;3.0;0.04;3972.73
ag681108-339942060;pr;m;v;0;150;589.0;4;690000;;;0;0;1;1;NS;;47.59644;7.51412;Non;1.0;;3.0;True;Sud;;;3.0;;;;;;;;;;;a;n;134.0;m;2022-04;68042;0000;680420000;Z;Z;6804200;68118;44;68;11.4;5.0;0.03;11.4;5.0;0.03;4600.0
hektor-moebel-immo-171;pr;a;v;1;82;;3;299000;;;0;0;1;0;B;90;47.60196;7.48445;Non;;;;True;Sud-Ouest;D;2005.0;1.0;1.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;29.0;a;2022-04;68042;0000;680420000;Z;Z;6804200;68118;44;68;12.32;52.0;0.041;12.32;52.0;0.041;3646.34
gedeon-24652181;pr;a;v;2;70;;3;294925;;;0;0;1;0;VI;;47.60343;7.49911;0;2.0;;;;0;VI;;;;;;;True;;;;;;cm;o;15.0;a;2022-04;68042;0000;680420000;Z;Z;6804200;68118;44;68;12.32;52.0;0.035;12.32;52.0;0.035;4213.21
ag571342-340855275;pr;m;v;0;90;195.0;5;367200;;;0;0;0;1;0;;47.60288;7.49758;Oui;;;2.0;True;0;;;;;;;;;;;Gaz;;;a;n;141.0;m;2022-04;68042;0000;680420000;Z;Z;6804200;68118;44;68;10.92;5.0;0.032;10.92;5.0;0.032;4080.0
rodacom-5017206;pr;a;v;0;44;;2;110800;;;0;1;1;0;VI;;47.86901;7.25372;Non;2.0;;2.0;True;Sud;VI;1994.0;1.0;;;;5.0;True;22.0;;Électrique;;Individuel;a;n;64.0;a;2022-04;68043;0000;680430000;Z;Z;6804300;68701;44;68;12.21;4.0;0.058;12.21;4.0;0.058;2518.18
hektor-mhimmobilier-1443;pr;a;v;2;40;;2;70200;;;0;0;0;1;E;289;47.86264;7.25541;Oui;2.0;;1.0;;0;C;2009.0;1.0;1.0;;;;False;;;Électrique;Radiateur;Individuel;a;n;15.0;a;2022-04;68043;0000;680430000;Z;Z;6804300;68701;44;68;12.21;4.0;0.083;12.21;4.0;0.083;1755.0
immo-facile-49078550;pr;m;v;0;87;329.0;4;176800;;;0;0;0;1;D;219;47.86389;7.25605;Oui;;;3.0;True;0;D;1930.0;1.0;1.0;;;;;;;Gaz;Radiateur;Individuel;a;n;85.0;m;2022-04;68043;0000;680430000;Z;Z;6804300;68701;44;68;9.96;2.0;0.059;9.96;2.0;0.059;2032.18
ag681404-339683088;pr;m;v;0;139;;6;212500;;;0;0;1;2;E;;47.8637;7.26445;Non;;;1.0;;0;E;;2.0;;;;;;;;;;;a;n;29.0;m;2022-04;68043;0000;680430000;Z;Z;6804300;68701;44;68;7.24;2.0;0.057;7.24;2.0;0.057;1528.78
rodacom-5017166;pr;a;v;1;42;;2;101800;;;0;1;1;1;E;259;47.86445;7.2492;Non;2.0;;2.0;True;Est-Ouest;C;1994.0;1.0;;;;5.0;True;22.0;1203.0;Électrique;;Individuel;a;n;38.0;a;2022-04;68043;0000;680430000;Z;Z;6804300;68701;44;68;12.21;4.0;0.06;12.21;4.0;0.06;2423.81
gedeon-24657274;pr;an;v;0;87;;4;349000;;;0;0;0;0;0;;47.57696;7.52263;0;;;;;0;;;;;;;;;;;;;;cm;o;38.0;a;2022-04;68135;0000;681350000;Z;Z;6813500;68403;44;68;11.69;11.0;0.035;11.69;11.0;0.035;4011.49
ag060811-341397744;pr;a;v;2;82;;3;240000;;;0;1;0;1;D;177;47.57695;7.51902;Oui;2.0;;1.0;;0;E;;1.0;;;;;;14.0;1500.0;Gaz;;;m;n;92.0;a;2022-04;68135;0000;681350000;Z;Z;6813500;68403;44;68;11.81;31.0;0.048;11.81;31.0;0.048;2926.83
adapt-immo-680091622;pr;a;v;1;50;;2;141600;;;0;1;0;1;D;180;47.58127;7.53954;Non;2.0;;1.0;True;0;A;1989.0;1.0;;;;;False;;;Électrique;;;a;n;260.0;a;2022-04;68135;0000;681350000;Z;Z;6813500;68403;44;68;13.19;31.0;0.056;13.19;31.0;0.056;2832.0
ag670426-338504358;pr;a;v;0;41;;2;140000;;;0;0;0;1;B;51;47.58054;7.51611;Non;;;1.0;;Ouest;B;;1.0;;;True;;True;;;;;Individuel;a;n;15.0;a;2022-04;68135;0000;681350000;Z;Z;6813500;68403;44;68;13.19;31.0;0.046;13.19;31.0;0.046;3414.63
ag681145-340651413;pr;m;v;0;170;1100.0;8;357500;;;0;0;0;1;D;178;47.80808;7.33737;Non;;;;;0;E;;;;;;;;;;;;;a;n;8.0;m;2022-04;68376;0102;683760102;H;H;6837601;68701;44;68;;;;;;;2102.94
immo-facile-48297836;pr;a;v;2;74;;3;222000;;;0;0;0;0;VI;;47.80756;7.33671;Oui;2.0;;;;0;VI;;;;;;;;;;;;;a;n;43.0;a;2022-04;68376;0102;683760102;H;H;6837601;68701;44;68;10.77;18.0;0.043;10.74;80.0;0.043;3000.0
hektor-agfreyimmo-854;pr;m;v;0;75;;3;169000;;;0;0;1;0;D;199;47.82326;7.34465;Non;;;;;0;D;;1.0;;;;;;;;Gaz;;;a;n;8.0;m;2022-04;68376;0106;683760106;H;H;6837601;68701;44;68;13.75;2.0;0.073;13.75;3.0;0.073;2253.33
apimo-6915434;pr;a;v;0;76;;4;160000;;;0;0;0;0;C;134;47.81725;7.33944;Oui;1.0;;;;0;C;;;;;;;;4.0;840.0;Gaz;Radiateur;Individuel;a;n;38.0;a;2022-04;68376;0103;683760103;H;H;6837601;68701;44;68;9.75;6.0;0.056;9.59;16.0;0.055;2105.26
hektor-lifeimmo-1969;pr;m;v;0;115;166.0;5;392000;;;0;0;1;1;0;;47.80264;7.34171;Oui;2.0;;;;0;;2021.0;2.0;1.0;;;;;;;Électrique;Sol;Individuel;a;n;34.0;m;2022-04;68376;0103;683760103;H;H;6837601;68701;44;68;8.08;1.0;0.028;8.25;2.0;0.029;3408.7
mgc-340044052-CWE-220414-085531;pr;m;v;0;84;;5;258400;;;0;0;0;0;A;;47.81077;7.33944;0;;;;;0;A;;;;;;;;;;;;;cm;o;29.0;m;2022-04;68376;0103;683760103;H;H;6837601;68701;44;68;8.08;1.0;0.032;8.25;2.0;0.032;3076.19
orpi-1-054038E248TE;pr;m;v;0;160;698.0;6;369000;;;0;1;0;2;F;413;47.81323;7.33467;Oui;;;2.0;;0;C;;;1.0;;;;;;;;;;a;n;289.0;m;2022-04;68376;0103;683760103;H;H;6837601;68701;44;68;;;;;;;2306.25
hektor-agence-efco-immo-1849;pr;m;v;0;256;1000.0;10;697000;;;0;0;3;2;D;151;47.63492;7.50307;Non;2.0;;6.0;True;Sud;D;2003.0;3.0;2.0;;;;;;;Gaz;;Individuel;a;n;169.0;m;2022-04;68021;0000;680210000;Z;Z;6802100;68205;44;68;;;;;;;2722.66
hektor-ag-orim-1146;pr;m;v;0;186;617.0;6;420000;;;0;1;1;1;0;;47.63549;7.47664;Oui;2.0;;;True;0;;;1.0;1.0;;;;;;;Fioul;Radiateur;;a;n;127.0;m;2022-04;68021;0000;680210000;Z;Z;6802100;68205;44;68;14.03;1.0;0.075;14.03;1.0;0.075;2258.06
hektor-amsignatureimmo-77;pr;a;v;0;48;;2;128400;;;0;0;1;0;C;149;47.63502;7.46408;Non;2.0;;;True;0;C;2001.0;1.0;1.0;;;;True;7.0;1448.0;Gaz;Radiateur;Collectif;a;n;106.0;a;2022-04;68021;0000;680210000;Z;Z;6802100;68205;44;68;13.14;25.0;0.059;13.14;25.0;0.059;2675.0
mgc-338206401-VM-LAUW-2022303;pr;m;v;0;145;;5;461400;;;0;0;0;0;0;;47.75752;7.0182;0;;;;;0;;;;;;;;;;;;;;cm;o;8.0;m;2022-04;68179;0000;681790000;Z;Z;6817900;68000;44;68;9.61;1.0;0.036;9.61;1.0;0.036;3182.07
immo-facile-48986995;pr;m;v;0;114;626.0;5;248000;;;0;0;0;1;E;241;47.98022;7.48686;Oui;1.0;;;;0;E;;1.0;;;;;;;;;Radiateur;Individuel;a;n;8.0;m;2022-04;68069;0000;680690000;Z;Z;6806900;68000;44;68;8.0;1.0;0.044;8.0;1.0;0.044;2175.44
laforet-immo-facile-21094809;pr;a;v;0;70;242.0;3;246100;;;0;0;0;1;D;196;48.1236;7.44422;Oui;2.0;;2.0;True;0;E;2010.0;1.0;1.0;;False;;False;38.0;840.0;Gaz;Radiateur;Individuel;a;n;43.0;a;2022-04;68143;0000;681430000;Z;Z;6814300;68108;44;68;12.15;5.0;0.041;12.15;5.0;0.041;3515.71
immo-facile-49320085;pr;a;v;0;39;;2;154990;;;0;0;1;0;C;140;48.11212;7.43093;Oui;2.0;;;;Est;C;1970.0;1.0;;;;;;3.0;120.0;Gaz;Radiateur;Individuel;a;n;38.0;a;2022-04;68143;0000;681430000;Z;Z;6814300;68108;44;68;13.96;2.0;0.042;13.96;2.0;0.042;3974.1
ag743447-337631277;pr;m;v;0;116;618.0;5;559000;;;0;0;1;0;A;47;48.01768;7.52828;Non;;;1.0;;sud-est;A;;;;;;;;;;;;;m;n;127.0;m;2022-04;68231;0000;682310000;Z;Z;6823100;68202;44;68;;;;;;;4818.97
apimo-6883166;pr;m;v;0;86;315.0;5;291500;;;0;0;0;0;0;;48.01768;7.52828;0;;;;;0;A;;;;;;;;;;;Pompe à chaleur, Sol;;a;n;8.0;m;2022-04;68231;0000;682310000;Z;Z;6823100;68202;44;68;;;;;;;3389.53
iad-france-1116778;pr;m;v;0;150;1296.0;6;210000;;;0;0;0;0;F;269;47.61316;7.03388;Oui;2.0;;;False;0;F;1950.0;;;;False;;;;;Fioul;Radiateur;;m;n;43.0;m;2022-04;68214;0000;682140000;Z;Z;6821400;68000;44;68;;;;;;;1400.0
safti-1-700040;pr;m;v;0;110;622.0;5;225000;;;0;0;0;1;G;462;48.00562;7.38143;Oui;;;;False;0;G;1953.0;1.0;;;False;;;;;Fioul;;Individuel;m;n;8.0;m;2022-04;68295;0000;682950000;Z;Z;6829500;68105;44;68;8.18;3.0;0.048;8.18;3.0;0.048;2045.45
ag060811-337770480;pr;m;v;0;252;815.0;6;431600;;;0;0;1;1;D;246;47.48735;7.39503;Oui;;;2.0;True;0;D;;3.0;;;;;;;;;Sol;;m;n;82.0;m;2022-04;68248;0000;682480000;Z;Z;6824800;68000;44;68;;;;;;;1712.7
apimo-6889432;pr;m;v;0;125;218.0;4;273000;;;0;0;0;0;D;212;48.00418;7.39058;Oui;;;;;0;B;;;1.0;;;;;;;Bois;Poêle à Bois;Individuel;a;n;22.0;m;2022-04;68295;0000;682950000;Z;Z;6829500;68105;44;68;8.7;1.0;0.048;8.7;1.0;0.048;2184.0
immo-facile-adresse-12983937;pr;m;v;0;150;2.5;6;313000;;;0;1;1;1;E;295;48.01046;7.37138;Non;;;3.0;True;0;B;1900.0;2.0;;;;;;;;;;Individuel;a;n;52.0;m;2022-04;68295;0000;682950000;Z;Z;6829500;68105;44;68;;;;;;;2086.67
orpi-1-054038E26RM7;pr;m;v;0;90;556.0;2;66000;;;0;0;0;0;0;;47.81233;7.23789;Non;0.0;;;;0;G;;;;;;;;;;;;;a;n;26.0;m;2022-04;68375;0103;683750103;H;H;6837501;68701;44;68;;;;;;;733.33
immo-facile-adresse-12992024;pr;m;v;0;91;156.0;4;180000;;;0;0;1;0;F;271;48.01357;7.29319;Non;;;;True;0;F;1900.0;1.0;2.0;;;;;;;Fioul;Radiateur;Individuel;a;n;54.0;m;2022-04;68123;0000;681230000;Z;Z;6812300;68000;44;68;11.97;1.0;0.073;11.97;1.0;0.073;1978.02
iad-france-1115126;pr;m;v;0;87;187.0;5;210000;;;0;0;0;0;C;174;48.01086;7.30309;Oui;2.0;;;False;0;A;;;;;False;;;;;;;;m;n;59.0;m;2022-04;68123;0000;681230000;Z;Z;6812300;68000;44;68;10.0;1.0;0.05;10.0;1.0;0.05;2413.79
immo-facile-49488606;pr;a;v;2;80;;4;129000;;;0;0;0;1;C;99;47.80699;7.23945;Oui;2.0;;;;0;D;;1.0;;;;;;6.0;600.0;Gaz;Radiateur;Individuel;a;n;8.0;a;2022-04;68375;0104;683750104;H;H;6837501;68701;44;68;8.99;1.0;0.067;8.99;7.0;0.067;1612.5
mgc-340087824-MK-SAINT_ULRICH-2022144;pr;m;v;0;110;1067.0;5;299280;;;0;0;0;0;0;;47.59305;7.11378;0;;;;;0;;;;;;;;;;;;;;cm;o;78.0;m;2022-04;68299;0000;682990000;Z;Z;6829900;68201;44;68;;;;;;;2720.73
ag680010-338402022;pr;m;v;0;137;2941.0;6;399000;;;0;0;1;1;C;163;47.5957;7.12358;Oui;1.0;;7.0;False;Sud;C;;1.0;;;;;;;;;;;a;n;15.0;m;2022-04;68299;0000;682990000;Z;Z;6829900;68201;44;68;;;;;;;2912.41
ag681158-340587279;pr;m;v;0;280;2500.0;6;489000;;;0;0;0;1;F;187;47.78813;7.23015;Non;;;3.0;;0;F;;2.0;;;;;;;;;;;a;n;34.0;m;2022-04;68375;0104;683750104;H;H;6837501;68701;44;68;;;;;;;1746.43
